id,sender,subject,body,priority,triage_label,ideal_intent,ideal_tone,clean_text,predicted_action,predicted_tone,score
152,hr@company.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,high,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
153,hr@company.com,Promotion: Big Sale,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
154,hr@company.com,Project Update,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notify,neutral,notice your account will be locked unless verification is completed,,,0
155,sales@shop.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,neutral,notice your account will be locked unless verification is completed,,,0
156,news@techblog.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,ignore,urgent,please complete the mandatory training module before the deadline,,,0
157,news@techblog.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,notify,urgent,hello team please find the attached weekly report and action items for the project,,,0
158,no-reply@service.com,Welcome to Service,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,polite,notice your account will be locked unless verification is completed,,,0
159,no-reply@service.com,Welcome to Service,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,low,respond,respond,polite,reminder the client meeting is scheduled at 9 30 tomorrow prepare your slides,,,0
160,no-reply@service.com,Welcome to Service,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,,,0
161,support@cloud.com,Event Invitation,Your order #4084 has been shipped and is expected to deliver by 2026-01-06.,low,respond,respond,neutral,your order 4084 has been shipped and is expected to deliver by 2026 01 06,,,0
162,no-reply@service.com,Policy Update,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,,,0
163,news@techblog.com,Unusual Login Attempt,Your invoice of INR 35527.27 is due on 2025-12-26. Please pay to avoid late fees.,low,notify_human,notify,urgent,your invoice of inr 35527 27 is due on 2025 12 26 please pay to avoid late fees,,,0
164,orders@ecom.com,Event Invitation,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
165,support@cloud.com,Event Invitation,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 11 30 tomorrow prepare your slides,,,0
166,news@techblog.com,Payment Overdue,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,low,notify_human,notify,urgent,reminder the client meeting is scheduled at 15 00 tomorrow prepare your slides,,,0
167,teamlead@company.com,Monthly Report,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,,,0
168,security@bank.com,Payment Overdue,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,notify_human,notify,urgent,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,,,0
169,news@techblog.com,Meeting Agenda,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,respond,polite,hello team please find the attached weekly report and action items for the project,,,0
170,boss@company.com,Meeting Agenda,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,neutral,notice your account will be locked unless verification is completed,,,0
171,hr@company.com,Account Suspended,Your order #9749 has been shipped and is expected to deliver by 2026-01-05.,low,notify_human,notify,urgent,your order 9749 has been shipped and is expected to deliver by 2026 01 05,,,0
172,no-reply@service.com,Congratulations! You've Won,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,,,0
173,support@cloud.com,Policy Update,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
174,no-reply@service.com,Payment Overdue,Please complete the mandatory training module before the deadline.,low,notify_human,notify,urgent,please complete the mandatory training module before the deadline,,,0
175,news@techblog.com,Security Alert,Your order #4637 has been shipped and is expected to deliver by 2025-12-16.,medium,notify_human,notify,urgent,your order 4637 has been shipped and is expected to deliver by 2025 12 16,,,0
176,hr@company.com,Password Reset Request,Security alert: multiple failed login attempts were recorded on your account.,high,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
177,hr@company.com,Account Suspended,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,notify,urgent,dear user we detected a login from a new device if this wasn t you reset your password immediately,,,0
178,no-reply@service.com,Meeting Agenda,Your order #5193 has been shipped and is expected to deliver by 2025-12-12.,low,respond,respond,neutral,your order 5193 has been shipped and is expected to deliver by 2025 12 12,,,0
179,news@techblog.com,Survey,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,neutral,notice your account will be locked unless verification is completed,,,0
180,sales@shop.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,low,notify_human,notify,neutral,notice your account will be locked unless verification is completed,,,0
181,news@techblog.com,Order Shipped,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
182,alerts@bank.com,Policy Update,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,,,0
183,security@bank.com,Event Invitation,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,,,0
184,alerts@bank.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,,,0
185,no-reply@service.com,Action Required,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,,,0
186,sales@shop.com,Unusual Login Attempt,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,notify,urgent,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,,,0
187,sales@shop.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,,,0
188,teamlead@company.com,Event Invitation,Your order #9129 has been shipped and is expected to deliver by 2025-12-24.,medium,respond,respond,neutral,your order 9129 has been shipped and is expected to deliver by 2025 12 24,,,0
189,hr@company.com,Policy Update,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,medium,respond,respond,neutral,reminder the client meeting is scheduled at 15 00 tomorrow prepare your slides,,,0
190,news@techblog.com,Survey,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,respond,respond,neutral,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,,,0
191,teamlead@company.com,Project Update,Your order #5498 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,respond,neutral,your order 5498 has been shipped and is expected to deliver by 2025 12 13,,,0
192,security@bank.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
193,no-reply@service.com,Unusual Login Attempt,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",high,notify_human,notify,urgent,hi don t miss our sale with discounts up to 70 on selected items click to know more,,,0
194,security@bank.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,ignore,neutral,hi don t miss our sale with discounts up to 70 on selected items click to know more,,,0
195,support@cloud.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
196,no-reply@service.com,Policy Update,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,notify,urgent,security alert multiple failed login attempts were recorded on your account,,,0
197,boss@company.com,Order Shipped,Your order #3828 has been shipped and is expected to deliver by 2025-12-16.,medium,respond,respond,neutral,your order 3828 has been shipped and is expected to deliver by 2025 12 16,,,0
198,no-reply@service.com,Weekly Newsletter,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,,,0
199,news@techblog.com,Payment Overdue,Please complete the mandatory training module before the deadline.,low,notify_human,notify,urgent,please complete the mandatory training module before the deadline,,,0
200,support@cloud.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,ignore,polite,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,,,0
